1,20120278,23,Vu Le,Duy,Female,19/10/2002,3957280662018
2,20120279,65,Truong Cao Hoang,Gia,Male,13/6/2002,4192163002018
3,20120281,67,Ngo Thanh,Hai,Female,21/11/2002,4084526722018
4,20120283,75,Huynh Phuc,Hau,Female,27/4/2002,4579322462018
5,20120284,21,Le Duc,Hau,Female,8/9/2002,4206028212018
6,20120288,74,Nguyen Trung,Hieu,Male,13/11/2002,4048618822018
7,20120289,86,Vo Minh,Hieu,Female,26/9/2002,4675747102018
8,20120290,85,Tran Khanh,Hoang,Male,5/1/2002,4683838822018
9,20120291,11,Ngo Phuc,Hoi,Female,9/11/2002,4507266122018
10,20120292,35,Pham Quoc,Hung,Male,8/9/2002,4352844642018
